"name","left geod","right geod","ortho"
"v1197(,)",0.62172-2.56773j,0.75053-2.06621j,1.24432-2.62664j
"v1201(,)",0.64044+2.42052j,0.74104-1.93664j,1.00978-0.08897j
"v1202(,)",0.1517-1.89258j,0.69988+2.3644j,1.65919-2.34965j
"v1206(,)",0.1476-2.74398j,0.7955-1.94392j,1.66229+0.817j
"v1206(,)",0.73467+2.42599j,0.7955-1.94392j,0.9193+3.06389j
"v1210(,)",0.61125-1.81095j,0.61125-1.81095j,1.35399-0.75161j
"v1214(,)",0.70597+2.38071j,0.75582-1.91798j,0.96272-0.07137j
"v1215(,)",0.65514-2.42727j,0.79949+1.86973j,0.96227+0.12985j
"v1216(,)",0.57125-2.49775j,0.68997-2.08933j,1.35326+0.40108j
"v1218(,)",0.49382+2.22539j,0.68723+1.84686j,1.10507-2.45643j
"v1220(,)",0.65662+2.451j,0.73771-1.89873j,0.99774+3.01125j
"v1221(,)",0.55075+1.82934j,0.55301-2.01044j,1.14776-2.24495j
"v1224(,)",0.58511+1.8403j,0.59459-2.01931j,1.0926-2.25199j
"v1229(,)",0.59839-1.78243j,0.59839-1.78243j,1.39052+2.39716j
"v1232(,)",0.65633+2.39187j,0.77325-1.95353j,0.98274+3.08286j
"v1233(,)",0.72985-2.41324j,0.78455+1.9392j,0.92985-3.06749j
"v1235(,)",0.52435-2.20983j,0.6467-1.85844j,1.11034+2.46338j
"v1238(,)",0.66623+2.45513j,0.74408-1.88919j,0.98694+3.00394j
"v1239(,)",0.12572+2.28688j,0.70497+2.37484j,1.75128-2.42018j
"v1239(,)",0.70497+2.37484j,0.70497+2.37484j,1.72459+0.26812j
"v1242(,)",0.52805-2.08019j,0.56296+1.76477j,1.14362-2.1388j
"v1244(,)",0.52132-2.06395j,0.54999+1.77424j,1.16318-2.15685j
"v1245(,)",0.64167+2.46799j,0.64475+2.57153j,1.03935-0.50397j
"v1247(,)",0.47071-1.84074j,0.56061-1.87274j,1.20582+1.67333j
"v1248(,)",0.68575+2.37628j,0.68575+2.37628j,1.76549+0.26923j
"v1248(,)",0.12059+1.68912j,0.68575+2.37628j,1.77973-2.20356j
"v1250(,)",0.56698-2.29007j,0.60911-1.77079j,1.12059+2.45592j
"v1254(,)",0.5361-2.30277j,0.63874-1.7551j,1.12076+2.45329j
"v1255(,)",0.58214-2.09348j,0.60994+1.78116j,1.06661-2.15771j
"v1256(,)",0.60403+1.78795j,0.60403+1.78795j,1.38256-2.39211j
"v1257(,)",0.59521-2.08347j,0.61445+1.79466j,1.05783-2.17763j
"v1265(,)",0.72166+2.40568j,0.77809-1.93181j,0.9389+3.06635j
"v1265(,)",0.72166+2.40568j,0.72166+2.40568j,1.74429+0.20946j
"v1267(,)",0.55009-2.0227j,0.60957+1.76985j,1.09879+0.95176j
"v1269(,)",0.53649+2.03322j,0.62068-1.78892j,1.09881-0.94545j
"v1270(,)",0.67178-2.49961j,0.71458-2.02121j,1.29624-2.77797j
"v1272(,)",0.72293+2.41754j,0.78856-1.93323j,0.93079+3.06086j
"v1272(,)",0.72293+2.41754j,0.72293+2.41754j,1.73422+0.201j
"v1272(,)",0.78856-1.93323j,0.78856-1.93323j,1.82252+0.75161j
