"name","volume","margulis constant","left geod","right geod","ortho length"
"m003(-9,1)",1.915163182341707162936366252,0.9456610576837224,(0.841572539251018+2.652135493942146j),(0.841572539251018+2.652135493942145j),(0.429894065352875+0.902904789225353j)
"m003(-9,2)",1.904396170428683582683072176,0.9436111249181655,(0.833623199889502+2.654898749367379j),(0.833623199889501+2.654898749367379j),(0.440800204024609+0.905128630096896j)
"m003(-9,4)",1.888905600922836992845701727,0.9444898953047292,(0.819966055094725+2.669809157984614j),(0.819966055094726+2.669809157984612j),(0.467083470532559+0.897060275209217j)
"m003(-8,1)",1.883704603294869843664852896,0.9407554506423005,(0.834954869876882+2.64507952116295j),(0.834954869876882+2.64507952116295j),(0.432543233993099+0.915342249531595j)
"m003(-8,3)",1.856068515310831468617412785,0.938423253545122,(0.813206218948669+2.658960327289675j),(0.813206218948668+2.658960327289674j),(0.467414868494449+0.914781388319767j)
"m003(-8,5)",1.849928674230127659671295413,0.9495077908017803,(0.806832776083495+2.691200880210932j),(0.806832776083495+2.69120088021093j),(0.498227288507537+0.879799693004939j)
"m003(-7,1)",1.837480740558747789100706498,0.9334056496979752,(0.824838636161336+2.635148248786717j),(0.824838636161337+2.635148248786718j),(0.436785180914089+0.933600430860895j)
"m003(-7,2)",1.815118984880301431377404125,0.9305747772894246,(0.808353285672781+2.64277748381988j),(0.808353285672782+2.642777483819878j),(0.461053762377481+0.937224643565524j)
"m003(-7,3)",1.797600089838728511107120798,0.9332834692881397,(0.793566517810958+2.659024314896551j),(0.793566517810958+2.659024314896551j),(0.490901601860767+0.929455596506688j)
"m003(-7,4)",1.790853662784182652571136076,0.9431588200772455,(0.787185374315274+2.684097739259514j),(0.787185374315275+2.684097739259513j),(0.51811101632381+0.903213162888697j)
"m003(-7,5)",1.800617602086292726202015126,0.9408297669284965,(0.929505697515857-1.749254092592743j),(0.932581120979667-2.647503360757456j),(0.147668425320349+1.784402343006989j)
"m003(-7,6)",1.824344322202911961274957218,0.9494766153029718,(0.929780979616804-2.674606938120847j),(0.946265410170214-1.699405270393693j),(0.141772204698471+1.776612286381878j)
"m003(-6,1)",1.765716305218255968561851474,0.9217410220067573,(0.808403320607516+2.620609132529844j),(0.808403320607519+2.620609132529841j),(0.443933663631858+0.962021871476284j)
"m003(-6,5)",1.740116918883054481776970756,0.9537000092159467,(0.79491268763345+2.740042803143637j),(0.888239550659787-1.698162003451931j),(0.471146554863486+2.030996372627895j)
"m003(-6,7)",1.831784328021333808927260279,0.9732304203797811,(0.84576732190109+2.737476733062971j),(0.845767321901089+2.73747673306297j),(0.475955776727018+0.795742197155766j)
"m003(-5,1)",1.645803736443157886123781370,0.9017688533972774,(0.779450881235757+2.598254418331174j),(0.779450881235753+2.598254418331174j),(0.456731986339683+1.010102672284856j)
