"name","volume","margulis constant","left geod","right geod","ortho length"
"m003(-19,1)",2.005080509366387962553121463,0.9590311314640861,(0.858696216321499+2.673998725128595j),(0.858696216321499+2.673998725128597j),(0.424186987786564+0.867084380753224j)
"m003(-19,2)",2.003865832582752908359485039,0.9587293424187793,(0.857850554706526+2.67409731045184j),(0.857850554706525+2.67409731045184j),(0.425223224418864+0.867477620887165j)
"m003(-19,3)",2.002694385988378956056225066,0.9584562987290928,(0.856969440910643+2.674334049063789j),(0.856969440910643+2.674334049063788j),(0.426385124842182+0.867733592548158j)
"m003(-19,4)",2.001594626268310467823750921,0.9582284305532569,(0.856079691308128+2.674726625002752j),(0.856079691308131+2.67472662500275j),(0.427653124226465+0.867815011479722j)
"m003(-19,5)",2.000597776409433503821546575,0.9580629392795273,(0.855215183073796+2.675286963851141j),(0.855215183073798+2.675286963851141j),(0.4289957731437+0.867686538698109j)
"m003(-19,6)",1.999736469743601420621551240,0.9579762199375541,(0.854415633952246+2.676018344758158j),(0.854415633952245+2.676018344758158j),(0.430369145726966+0.867318941169121j)
"m003(-18,1)",2.002186918787904005227960288,0.958622497938067,(0.858206240129203+2.673245492052246j),(0.858206240129202+2.673245492052247j),(0.424300641429402+0.868247738236582j)
"m003(-18,5)",1.996980389100085113995949017,0.9575310630658406,(0.854127432672673+2.674877939582493j),(0.854127432672673+2.674877939582492j),(0.430012904651191+0.868821760304629j)
"m003(-18,7)",1.995278166984155497216847904,0.9575135411875841,(0.852462051125011+2.676908394076537j),(0.852462051125011+2.676908394076534j),(0.433191266906639+0.867465309078748j)
"m003(-17,1)",1.998757284604842572380122784,0.9581355885521997,(0.857617930825338+2.672358130052832j),(0.857617930825338+2.672358130052831j),(0.424444573644216+0.869625393569012j)
"m003(-17,2)",1.997071116939549547270640862,0.9577219911966048,(0.856432201379248+2.672526119057374j),(0.856432201379248+2.672526119057375j),(0.425914126301925+0.870148784492541j)
"m003(-17,3)",1.995459728264004318435069737,0.9573597750134675,(0.855199489079278+2.672914087261263j),(0.855199489079278+2.672914087261261j),(0.427574775314778+0.87044873322276j)
"m003(-17,4)",1.993973554575655204662369416,0.9570781516782644,(0.85396893641054+2.67355051486048j),(0.85396893641054+2.673550514860481j),(0.429388704833488+0.870460760974884j)
"m003(-17,5)",1.992667928814510053639732517,0.9569068818989794,(0.852802837482573+2.674451454656289j),(0.852802837482571+2.67445145465629j),(0.431294573125467+0.870125669894601j)
"m003(-17,6)",1.991599867350040361832243442,0.9568724707723127,(0.851773363629664+2.675614302671537j),(0.851773363629663+2.675614302671536j),(0.433206803076326+0.869399091678195j)
"m003(-17,7)",1.990823438067873138990574605,0.9569935314732114,(0.850956059290649+2.677012287913989j),(0.850956059290651+2.677012287913989j),(0.435019223459024+0.868262654106137j)
"m003(-17,8)",1.990383962717244446460590499,0.9572762064622911,(0.850420051549768+2.678591572391618j),(0.850420051549765+2.678591572391619j),(0.436614638395045+0.86673450903798j)
"m003(-17,9)",1.990311831589430507615292372,0.9577110304200497,(0.850216201854422+2.680273158227858j),(0.850216201854422+2.680273158227857j),(0.43788052543832+0.864875533121768j)
"m003(-17,10)",1.990617265811039083627766558,0.9582726945997511,(0.850366096226612+2.681961066012646j),(0.850366096226612+2.681961066012646j),(0.438728342645752+0.862787126671635j)
"m003(-16,1)",1.994650971103771993034923818,0.9575491475970508,(0.85690347404536+2.6713030672784j),(0.85690347404536+2.671303067278401j),(0.424629056463883+0.871273184101866j)
"m003(-16,3)",1.990720979261624281379454067,0.9566397121317274,(0.853999831234201+2.672032554717369j),(0.8539998312342+2.672032554717369j),(0.428425132311567+0.872201014712688j)
"m003(-16,5)",1.987475766276324154123946062,0.9561719213800086,(0.851173623088549+2.674023030801178j),(0.851173623088548+2.674023030801178j),(0.432929819112359+0.871624539252973j)
"m003(-16,7)",1.985512956326275711899569740,0.9564260537567435,(0.849153176325615+2.677286146139088j),(0.849153176325613+2.677286146139088j),(0.437304895731158+0.869047594049714j)
"m003(-16,9)",1.985321027707936951457426192,0.9574722781350136,(0.848657839633934+2.681293236383052j),(0.848657839633936+2.681293236383052j),(0.440347468276992+0.864618285389552j)
"m003(-16,11)",1.987011960674492770735871356,0.9590467389867897,(0.849909382009177+2.685062420933905j),(0.849909382009174+2.685062420933905j),(0.441145061168161+0.859375216092065j)
"m003(-15,1)",1.989678166587588547518610815,0.956834224416721,(0.856024621248219+2.670035633153615j),(0.856024621248219+2.670035633153615j),(0.424868719218445+0.87326632684552j)
"m003(-15,2)",1.987242453745358627380022691,0.9562486433477,(0.854292124051741+2.670335963616724j),(0.854292124051742+2.670335963616724j),(0.427047256383204+0.873981385687185j)
"m003(-15,4)",1.982880730444768351321944438,0.9554294898478296,(0.850744022115247+2.672096366055226j),(0.850744022115248+2.672096366055226j),(0.43223976029518+0.874132286094236j)
"m003(-15,7)",1.979134518099439227468910871,0.9558260903627309,(0.846992524226946+2.677824765588063j),(0.846992524226947+2.677824765588063j),(0.440183736507704+0.869747666914714j)
"m003(-15,8)",1.978998749747599973703185735,0.9564752228601804,(0.846676478697462+2.680280696543714j),(0.846676478697462+2.680280696543714j),(0.442076668325294+0.867036079565827j)
"m003(-15,11)",1.982223294120312005899634947,0.9593392505493845,(0.849077669661646+2.686975294099814j),(0.849077669661647+2.686975294099816j),(0.443290933310858+0.857588178073043j)
"m003(-15,13)",1.986628537319866657196287904,0.9612390630590899,(0.852417576205986+2.689534707023517j),(0.852417576205985+2.68953470702352j),(0.440809960650044+0.852530112484279j)
"m003(-14,1)",1.983577785679746540491391770,0.9559505956344232,(0.854927685257905+2.668495393909863j),(0.854927685257905+2.668495393909863j),(0.42518481972991+0.875708066432673j)
"m003(-14,3)",1.977808133773125037850251363,0.9546796002024454,(0.850595044205841+2.669810718536251j),(0.850595044205842+2.669810718536251j),(0.430992273751987+0.876875037173331j)
"m003(-14,5)",1.973369691354276641953187019,0.9542855849579718,(0.846602366819343+2.67330384955026j),(0.846602366819344+2.67330384955026j),(0.4378231363934+0.875305985258618j)
