"name","left geod","right geod","ortho"
"v1519(,)",0.05467+2.41401*1j,0.62144-2.48988*1j,2.26614-0.83082*1j
"v1519(,)",0.62144-2.48988*1j,0.69681-2.05163*1j,1.33196+0.43526*1j
"v1519(,)",0.62144-2.48988*1j,0.62144-2.48988*1j,1.98582+3.11187*1j
"v1522(,)",0.56162-1.80265*1j,0.57532+2.06437*1j,1.11778-0.952*1j
"v1522(,)",0.56162-1.80265*1j,0.56162-1.80265*1j,1.94-2.22038*1j
"v1522(,)",0.57532+2.06437*1j,0.57532+2.06437*1j,1.9807-1.39546*1j
"v1523(,)",0.53218-2.23272*1j,0.64269-1.83125*1j,1.11355-0.68218*1j
"v1526(,)",0.5033-2.25679*1j,0.614-1.80193*1j,1.16083+2.44511*1j
"v1529(,)",0.50584-2.01743*1j,0.55629-2.02925*1j,1.49384+1.1734*1j
"v1530(,)",0.61327+2.49637*1j,0.69929+2.05877*1j,1.33918+2.71002*1j
"v1530(,)",0.61327+2.49637*1j,0.61327+2.49637*1j,1.98852-3.11885*1j
"v1530(,)",0.69929+2.05877*1j,0.69929+2.05877*1j,1.76323+2.06236*1j
"v1531(,)",0.56967+1.81352*1j,0.56967+1.81352*1j,1.94045+2.20011*1j
"v1531(,)",0.56464-2.06931*1j,0.56464-2.06931*1j,1.99126+1.38831*1j
"v1531(,)",0.56464-2.06931*1j,0.56967+1.81352*1j,1.11757-2.19468*1j
"v1532(,)",0.52444+2.04718*1j,0.53604+1.99847*1j,1.49922-1.11054*1j
"v1535(,)",0.53063-2.28007*1j,0.64679-1.77895*1j,1.118+2.45361*1j
"v1536(,)",0.50886-2.25106*1j,0.67183-1.81262*1j,1.11185+2.45386*1j
"v1537(,)",0.55156+2.26931*1j,0.62488+1.79081*1j,1.1186+0.68532*1j
"v1544(,)",0.47484-1.89989*1j,0.50282-1.85873*1j,1.24704+1.71538*1j
"v1546(,)",0.5376+2.23557*1j,0.63718+1.82733*1j,1.11465+0.68225*1j
"v1549(,)",0.55519+2.26781*1j,0.67299+1.8194*1j,1.08262+0.65946*1j
"v1551(,)",0.50779+2.02334*1j,0.55429+2.02287*1j,1.49201-1.16226*1j
"v1556(,)",0.4843-1.86967*1j,0.49087-1.91691*1j,1.24605+1.73966*1j
"v1557(,)",0.52563+2.27766*1j,0.65246+1.78138*1j,1.11736-2.45319*1j
"v1558(,)",0.5204-2.04301*1j,0.54047-2.00249*1j,1.4961+1.12042*1j
"v1560(,)",0.55237-2.26324*1j,0.62394-1.79699*1j,1.11829+2.45685*1j
"v1561(,)",0.49255-1.86016*1j,0.53429-1.88613*1j,1.20696+1.70046*1j
"v1568(,)",0.51051+2.25666*1j,0.67013+1.80575*1j,1.11291-2.45331*1j
"v1570(,)",0.50163+1.85813*1j,0.53294+1.89493*1j,1.20003-1.70529*1j
"v1579(,)",0.54121-2.2396*1j,0.63383-1.82253*1j,1.11547+2.45897*1j
"v1581(,)",0.54746+2.49289*1j,0.56969+2.44402*1j,1.19035-0.46281*1j
"v1582(,)",0.52214-2.27419*1j,0.65654-1.78517*1j,1.11663+2.45302*1j
"v1584(,)",0.51147+2.01686*1j,0.55027+2.02971*1j,1.50334-1.16956*1j
"v1588(,)",0.51103-2.02748*1j,0.55083-2.01846*1j,1.49376+1.15293*1j
"v1590(,)",0.52477-2.27808*1j,0.63703-1.82852*1j,1.13329+2.48712*1j
"v1591(,)",0.52742-2.04264*1j,0.53331-2.00328*1j,1.50758+1.11539*1j
"v1592(,)",0.5787+2.45837*1j,0.63523+2.46921*1j,1.1206-0.43986*1j
"v1593(,)",0.55105+2.25799*1j,0.6251+1.80242*1j,1.11785-2.45728*1j
"v1594(,)",0.51822+2.03855*1j,0.54297+2.007*1j,1.49621-1.12931*1j
"v1596(,)",0.46284-2.44752*1j,0.56325-1.96481*1j,1.23477+1.12663*1j
"v1597(,)",0.52921+2.2788*1j,0.64209+1.82973*1j,1.12654+0.65188*1j
"v1598(,)",0.52076+2.27612*1j,0.63255+1.82589*1j,1.13903-2.48268*1j
"v1599(,)",0.48512-1.904*1j,0.52947-1.90577*1j,1.20995-1.38762*1j
"v1602(,)",0.51032-1.86008*1j,0.5282-1.90177*1j,1.19598+1.71206*1j
"v1604(,)",0.49014-1.90878*1j,0.53311-1.89817*1j,1.20324+1.75051*1j
"v1606(,)",0.53358-2.27821*1j,0.64719-1.82942*1j,1.11951+2.49024*1j
"v1607(,)",0.51396+2.25064*1j,0.66567+1.81276*1j,1.11255-2.45464*1j
"v1609(,)",0.6464+2.41204*1j,0.69045-2.37027*1j,1.33491+3.07138*1j
"v1612(,)",0.51346-2.26057*1j,0.66673-1.80097*1j,1.11386+2.45324*1j
"v1615(,)",0.53488-2.23957*1j,0.64068-1.82334*1j,1.11452-0.68307*1j
"v1618(,)",0.52019+2.27041*1j,0.65887+1.78944*1j,1.11596-2.4531*1j
"v1621(,)",0.65512-2.41379*1j,0.69173+2.37958*1j,1.31828-3.08425*1j
"v1623(,)",0.49648+1.91113*1j,0.53327+1.89002*1j,1.1987-1.74495*1j
"v1624(,)",0.54299+2.24384*1j,0.63243+1.8178*1j,1.116-2.45848*1j
"v1630(,)",0.52824-2.27369*1j,0.64969-1.78591*1j,1.11708+2.45382*1j
"v1633(,)",0.54849-2.2542*1j,0.62752-1.80647*1j,1.11734+2.45753*1j
"v1634(,)",0.5473+2.26328*1j,0.62917+1.79709*1j,1.11782-2.45651*1j
"v1635(,)",0.63561-2.3662*1j,0.64312+2.35848*1j,1.34698-0.00275*1j
"v1636(,)",0.54244-2.52236*1j,0.59509-2.53004*1j,1.15545-2.58983*1j
"v1639(,)",0.43727+1.53021*1j,0.64498+1.99919*1j,1.23214-0.34133*1j
