"name","left geod","right geod","ortho"
"v2542(1,4)",0.65464-1.98774*1j,0.69701+2.0098*1j,1.08102-1.05679*1j
"v2616(5,1)",0.58196-1.51732*1j,0.6689+2.57287*1j,1.18257-1.2319*1j
"v2616(5,1)",0.6689+2.57287*1j,0.74232+2.56702*1j,0.93684-0.73816*1j
"v2616(5,1)",0.58196-1.51732*1j,0.74232+2.56702*1j,1.1859-0.3737*1j
"v2616(5,1)",0.70522+2.27102*1j,0.74232+2.56702*1j,1.17131-1.42958*1j
"v2616(5,1)",0.58196-1.51732*1j,0.70522+2.27102*1j,1.12399-0.11576*1j
"s933(4,1)",0.70829+1.94616*1j,0.70829+1.94616*1j,0.98762-2.31109*1j
"v2507(-4,3)",0.66424+2.28976*1j,0.68228+2.6117*1j,0.96982-1.6472*1j
"v2553(-7,1)",0.33021+0.81818*1j,0.70824-2.85428*1j,1.48719+0.22611*1j
"v2553(-7,1)",0.70824-2.85428*1j,0.72813+1.20272*1j,1.08624-2.85156*1j
"v2546(3,4)",0.63582+1.98276*1j,0.77399+2.17122*1j,0.95255-2.16897*1j
"v2660(-4,1)",0.58093-2.29296*1j,0.67363+2.19623*1j,1.02352+1.20805*1j
"v2508(7,1)",0.44625-2.94027*1j,0.74028+2.9902*1j,1.29776-2.4235*1j
"v2508(7,1)",0.74028+2.9902*1j,0.74028+2.9902*1j,1.59853-0.43957*1j
"v2508(7,1)",0.30068-0.83178*1j,0.74028+2.9902*1j,1.46212+2.54205*1j
"v2944(-4,1)",0.75386+2.16913*1j,0.75386+2.16913*1j,0.8725-2.0716*1j
"v2797(-4,1)",0.72772-2.16479*1j,0.72772-2.16479*1j,0.89017+1.70449*1j
"v2500(-5,1)",0.49112+1.72489*1j,0.55031-2.47871*1j,1.26444-2.58637*1j
"v2689(5,1)",0.54627-2.12866*1j,0.73252-1.94795*1j,1.02769+2.27075*1j
"v2603(4,1)",0.54774+2.16796*1j,0.68895+2.26119*1j,1.03386-1.50609*1j
"v2632(6,1)",0.35813-0.89784*1j,0.73217+2.94282*1j,1.49295+0.36787*1j
"v2665(-4,1)",0.53602+2.18098*1j,0.79351+2.05573*1j,1.07937-1.40977*1j
"v2665(-4,1)",0.53602+2.18098*1j,0.712-2.3616*1j,1.03572-1.87027*1j
"v2546(-1,4)",0.55191+2.06778*1j,0.79454+2.06927*1j,0.97997-2.19625*1j
"v2568(4,3)",0.76622-2.71911*1j,0.78919-1.7321*1j,0.88537+1.74858*1j
"v2593(-4,1)",0.64369+2.43011*1j,0.74312+2.52579*1j,0.97531-1.73432*1j
"s934(1,4)",0.66645-2.16418*1j,0.7736-2.30975*1j,1.11828+0.35164*1j
"s934(1,4)",0.50966+2.19512*1j,0.66645-2.16418*1j,1.12057+2.00204*1j
"v2636(5,1)",0.62698-2.25305*1j,0.7463-2.66428*1j,1.16132+0.65652*1j
"v2679(5,1)",0.53576+2.17935*1j,0.66397-1.9864*1j,1.06685+2.03259*1j
"v2586(-5,1)",0.43041+1.90835*1j,0.51198+2.45964*1j,1.3196-0.86256*1j
"v2802(-4,1)",0.74478+2.32732*1j,0.77727+1.92949*1j,0.89073-2.07843*1j
"v2704(5,1)",0.44638-2.56467*1j,0.60647-2.41213*1j,1.2598+0.30242*1j
"v2711(-6,1)",0.45647-2.84138*1j,0.62354+3.13106*1j,1.28163+1.40234*1j
"v2603(1,4)",0.55641+2.09627*1j,0.78883-2.30656*1j,0.99864+1.3177*1j
"v2603(1,4)",0.55641+2.09627*1j,0.72987+2.15107*1j,1.0497-1.37076*1j
"v2599(-1,4)",0.49596-2.04689*1j,0.76351-2.24533*1j,1.0679-1.80598*1j
"v2647(-1,4)",0.62014-2.41298*1j,0.73307-2.12625*1j,1.00283+1.58011*1j
"v2647(-1,4)",0.73307-2.12625*1j,0.79297-2.36197*1j,1.00385+2.41543*1j
"v2660(4,3)",0.72259-2.2982*1j,0.7304+2.29698*1j,0.92181+1.07299*1j
"v2711(7,1)",0.36035-0.8156*1j,0.71522-3.09849*1j,1.55324+0.04753*1j
"v2711(7,1)",0.42926-2.80082*1j,0.71522-3.09849*1j,1.1958+1.24257*1j
"v2620(-4,1)",0.71796-2.24033*1j,0.74287+2.34859*1j,0.95469-2.16319*1j
