"name","margulis upper","left geod","left power","right geod","right power","ortho"
"m007(5,1)",1.0418122013819773,0.39707-1.15243j,1,0.72979+3.0267j,1,1.15328+0.60206j
"m006(-1,3)",0.8859508107318539,0.64493+1.89963j,1,0.72979-3.0267j,1,0.60235-1.91204j
"m006(-1,3)",0.9731249467221476,0.64493+1.89963j,1,0.64493+1.89963j,1,0.85244-1.49795j
"m006(-1,3)",0.8859508107318539,0.64493+1.89963j,1,0.72979-3.0267j,1,0.60235+1.22955j
"m006(3,2)",0.9308400414384157,0.65759+2.23647j,1,0.65759+2.23647j,1,0.70901-1.64303j
"m006(3,2)",0.8964145671671574,0.65759+2.23647j,1,0.73562+2.81977j,1,0.58139-1.83397j
"m006(3,2)",0.8964145671671574,0.65759+2.23647j,1,0.73562+2.81977j,1,0.58139+1.30762j
"m006(4,1)",0.9085072010397858,0.61374+2.84591j,1,0.76131+2.25528j,1,0.59676-1.81833j
"m006(4,1)",0.9437713694734143,0.37071-1.32951j,1,0.76131+2.25528j,1,0.95128+2.41898j
"m006(4,1)",0.9085072010397858,0.61374+2.84591j,1,0.76131+2.25528j,1,0.59676+1.32326j
"m006(4,1)",0.9437713694734143,0.37071-1.32951j,1,0.76131+2.25528j,1,0.95128+2.41898j
"m006(4,1)",0.977793942747619,0.76131+2.25528j,1,0.76131+2.25528j,1,0.65217-1.58452j
"m006(-2,3)",0.897157586358232,0.66289-3.04659j,1,0.7039+1.88779j,1,0.62252+1.23159j
"m006(-2,3)",0.897157586358232,0.66289-3.04659j,1,0.7039+1.88779j,1,0.62252-1.91001j
"m007(-6,1)",1.5572244436204132,0.53918+3.12401j,1,0.53918+3.12401j,1,1.44422+1.35587j
"m007(-6,1)",1.0410860225443843,0.33043+0.97532j,1,0.53918+3.12401j,1,1.35155+1.16945j
"m010(3,2)",0.9281946104277291,0.4734-1.47772j,1,0.79139+2.54962j,1,0.80063+2.20526j
"m010(3,2)",1.0274030821682245,0.41496+2.64714j,1,0.79139+2.54962j,1,0.8111-1.4591j
"m010(3,2)",1.122065486593407,0.79139+2.54962j,1,0.79139+2.54962j,1,0.80435+1.16409j
"m010(3,2)",1.0274030821682245,0.41496+2.64714j,1,0.79139+2.54962j,1,0.8111-1.4591j
"m010(3,2)",0.9281946104277291,0.4734-1.47772j,1,0.79139+2.54962j,1,0.80063-0.93634j
"m016(-4,1)",1.0463661523167656,0.63297+3.14159j,1,0.79139-2.54962j,1,0.75617+2.26235j
"m016(-4,1)",1.0071983405590152,0.4734+1.47772j,1,0.79139+2.54962j,1,0.93015+0.05487j
"m016(-4,1)",0.9318601826255336,0.63297+3.14159j,1,0.79139+2.54962j,1,0.58545-1.89423j
"m016(-4,1)",0.9474955814627294,0.4734+1.47772j,1,0.79139-2.54962j,1,0.83365+0.55388j
"m016(-4,1)",1.0307340540675334,0.79139+2.54962j,1,0.79139-2.54962j,1,0.6681+1.09975j
"m009(6,1)",1.2032269463664955,0.79395-1.5125j,1,0.79395-1.5125j,1,1.16509+0.8954j
"m009(6,1)",0.9614310484381836,0.37793-0.94567j,1,0.79395-1.5125j,1,1.18971+0.33011j
"m009(-6,1)",0.9193416781942073,0.37793+0.94567j,1,0.53881-1.52735j,1,1.30056+1.02804j
"m015(-5,1)",0.9996480592880544,0.44046+0.93385j,1,0.5348-3.03229j,1,1.25542+0.86062j
"m011(4,1)",1.0518393720424755,0.52242+1.77783j,1,0.74409-2.79165j,1,0.92756-0.8558j
"m011(4,1)",0.975093843607984,0.40322-1.66644j,1,0.74409-2.79165j,1,0.88576+1.82372j
"m016(4,1)",0.9503003296763348,0.46064-1.39014j,1,0.59613+2.67213j,1,0.97537+2.53471j
"m016(4,1)",1.054150055849934,0.58971+3.01682j,1,0.59613+2.67213j,1,0.87042+1.22362j
"m017(1,3)",0.9878847424659485,0.62635-3.018j,1,0.78545-2.08724j,1,0.7058-1.60024j
"m017(1,3)",0.9745419011566195,0.78545-2.08724j,1,0.78545-2.08724j,1,0.63411-0.98344j
"m017(1,3)",0.9878847424659485,0.62635-3.018j,1,0.78545-2.08724j,1,0.7058+1.54135j
"m011(-2,3)",1.0136158550828427,0.43861+2.49286j,1,0.76833+2.85975j,1,0.80097-1.57608j
"m011(-2,3)",0.9504077818718912,0.76833+2.85975j,1,0.78545-2.08724j,1,0.5697+2.08077j
"m034(-3,2)",0.9279250310841323,0.70316-2.85929j,1,0.70316-2.85929j,1,0.59867+1.50735j
"m011(4,3)",1.0126314035178419,0.39395+1.78918j,1,0.75801-2.99162j,1,0.90488+1.15921j
"m011(4,3)",1.0908060618525988,0.61254+1.88726j,1,0.75801-2.99162j,1,0.91367-0.67906j
"m015(7,1)",1.4696603240393,0.79211-2.76867j,1,0.79211-2.76867j,1,1.22406+0.27731j
"m015(7,1)",0.9725737677787993,0.40457-0.80418j,1,0.79211-2.76867j,1,1.19492-0.1573j
"m015(-6,1)",1.5945758708384912,0.56254-2.98613j,1,0.56254-2.98613j,1,1.47703+0.62889j
"m015(-6,1)",0.9987385495457016,0.33912+0.82142j,1,0.56254-2.98613j,1,1.38063+0.78265j
"m038(-5,1)",0.9810557765740316,0.65281-1.93876j,1,0.65281-1.93876j,1,0.84636+0.4558j
"m016(-5,1)",1.020729993876834,0.3159+1.21351j,1,0.71183+2.54187j,1,1.15086+3.1345j
"m016(-5,1)",0.9472614991621446,0.65875+3.10404j,1,0.71183+2.54187j,1,0.65281-1.85446j
"m016(-4,3)",0.9980998920225705,0.67054+2.39406j,1,0.67054-2.39406j,1,0.77153-1.88953j
"m016(-4,3)",1.0228932891390692,0.67054-2.39406j,1,0.7672+3.14159j,1,0.73337+2.10284j
"m016(-4,3)",0.9354593575940142,0.67054+2.39406j,1,0.7672+3.14159j,1,0.60192+1.41477j
"m017(-4,3)",0.9687236058232451,0.61497-2.65968j,1,0.67054-2.39406j,1,0.74298-1.69751j
"m017(-4,3)",0.9687236058232451,0.61497-2.65968j,1,0.67054-2.39406j,1,0.74298+1.44408j
"m017(-4,3)",1.1196793292980018,0.67054-2.39406j,1,0.67054-2.39406j,1,0.9347-0.86732j
"m016(-1,4)",1.0570113117856301,0.49958+2.41582j,1,0.68509-2.19579j,1,0.92401-1.87961j
"m017(-1,4)",0.9737471139528124,0.68509-2.19579j,1,0.71887-2.8813j,1,0.6985+1.4974j
"m017(-1,4)",0.9737471139528124,0.68509-2.19579j,1,0.71887-2.8813j,1,0.6985+1.4974j
"m017(-1,4)",0.9981019097515764,0.68509-2.19579j,1,0.68509-2.19579j,1,0.78538+2.1512j
"m019(1,4)",1.114241766810058,0.4218+2.43773j,1,0.79413+2.30486j,1,0.95087-0.91832j
"m019(1,4)",1.0323507532163054,0.36489+1.62824j,1,0.79413+2.30486j,1,0.97941-1.69874j
"m015(8,1)",0.97475702128228,0.30772-0.73332j,1,0.73456-2.80418j,1,1.35665-0.08321j
"m015(8,1)",1.4940977970002247,0.73456-2.80418j,1,0.73456-2.80418j,1,1.28787+0.32763j
"m019(-4,1)",1.1797324944962377,0.3942+2.27953j,1,0.76472-3.0077j,1,1.03989-0.86417j
"m019(-4,1)",0.9873054705768629,0.37655+1.44265j,1,0.76472-3.0077j,1,0.95453-1.94475j
"m019(3,4)",1.0545340814648954,0.50606+2.39526j,1,0.77749+2.4841j,1,0.85094+2.28213j
"m026(4,1)",0.9929954143101951,0.41522+1.61916j,1,0.75017+2.89397j,1,0.9125+1.30784j
"m023(-6,1)",0.9474864596006778,0.31026+0.9072j,1,0.50472+1.20736j,1,1.51573-0.3579j
"m034(5,1)",0.9535288677537004,0.60339-1.4185j,1,0.65714+3.08979j,1,0.85662-0.95191j
"m034(5,1)",0.9801879863764693,0.41363-1.151j,1,0.65714+3.08979j,1,1.08916+2.15377j
"m036(-5,1)",0.9646665238082833,0.66684+2.82503j,1,0.66684+2.82503j,1,0.69215+1.66601j
"m026(-5,1)",1.067802571106367,0.32338+1.25545j,1,0.65208+3.00558j,1,1.20954-1.81848j
"m026(-5,1)",1.002884914390906,0.47477+1.56437j,1,0.65208+3.00558j,1,0.96458+1.31141j
"m038(-6,1)",0.9988685639760879,0.70977-1.88202j,1,0.70977-1.88202j,1,0.82038-2.75611j
"m038(-6,1)",1.3570948608071793,0.70977-1.88202j,1,0.70977-1.88202j,1,1.3345+1.0543j
"m038(-6,1)",0.9519421062503102,0.37879+1.03087j,1,0.70977-1.88202j,1,1.1517-2.12326j
"m038(-6,1)",1.3570948608071793,0.70977-1.88202j,1,0.70977-1.88202j,1,1.3345+1.0543j
"m038(-6,1)",0.9519421062503102,0.37879+1.03087j,1,0.70977-1.88202j,1,1.1517-2.12326j
"m036(-2,3)",0.9988659886178525,0.63346+2.62755j,1,0.63346+2.62755j,1,0.78208+1.98374j
"m036(-1,3)",1.0177131064292912,0.59499+2.63183j,1,0.59499+2.63183j,1,0.83741+1.98793j
"m036(-5,2)",0.9659842806421705,0.70124+2.77803j,1,0.70124+2.77803j,1,0.66067-1.37437j
"m027(4,3)",1.0963196275785196,0.34041+1.79421j,1,0.7843-3.0732j,1,1.01635+1.21417j
"m036(5,1)",1.0409960818118658,0.35367-1.10683j,1,0.56563+2.81838j,1,1.26528-0.73084j
"m036(5,1)",1.0409960818118658,0.35367-1.10683j,1,0.56563+2.81838j,1,1.26528+2.41075j
"m036(5,1)",1.0768989313655455,0.56563+2.81838j,1,0.56563+2.81838j,1,0.91495-1.50899j
