"name","left geod","right geod","ortho"
"s082(,)",0.7821+2.69736*1j,0.7821+2.69736*1j,1.4273+2.79768*1j
"s090(,)",0.32781-1.1181*1j,0.65121-1.68301*1j,1.30147+0.31151*1j
"s108(,)",0.27525+1.02625*1j,0.5803-1.71655*1j,1.42952+0.82915*1j
"s134(,)",0.15391+2.7826*1j,0.61188-1.65266*1j,1.69312+0.16412*1j
"s134(,)",0.61188-1.65266*1j,0.61188-1.65266*1j,1.66183+0.80999*1j
"s143(,)",0.5544-1.67694*1j,0.5544-1.67694*1j,1.78681+0.87827*1j
"s150(,)",0.57881-1.61532*1j,0.57881-1.61532*1j,1.69913-2.11398*1j
"s151(,)",0.12496+1.8976*1j,0.60418-1.64066*1j,1.79844-0.00345*1j
"s151(,)",0.60418-1.64066*1j,0.60418-1.64066*1j,1.6817+0.78626*1j
"s158(,)",0.54409+1.63713*1j,0.54409+1.63713*1j,1.77948+2.08607*1j
"s159(,)",0.58461+1.62167*1j,0.58461+1.62167*1j,1.69129+2.09932*1j
"s166(,)",0.59885+1.64455*1j,0.59885+1.64455*1j,1.69223-0.79593*1j
"s166(,)",0.10358+2.27963*1j,0.59885+1.64455*1j,1.89565-0.05011*1j
"s170(,)",0.59525-1.63532*1j,0.59525-1.63532*1j,1.70207+0.77686*1j
"s170(,)",0.09895-1.68997*1j,0.59525-1.63532*1j,1.91816+3.00465*1j
"s174(,)",0.59342+1.6587*1j,0.59342+1.6587*1j,1.6871+2.02716*1j
"s176(,)",0.09282+2.43803*1j,0.55015+1.65732*1j,1.97795-1.42283*1j
"s176(,)",0.55015+1.65732*1j,0.55015+1.65732*1j,1.79913-0.83274*1j
"s177(,)",0.58727-1.62824*1j,0.58727-1.62824*1j,1.68914-2.08595*1j
"s179(,)",0.54894-1.65103*1j,0.54894-1.65103*1j,1.77416-2.05436*1j
"s181(,)",0.58044-1.62558*1j,0.58044-1.62558*1j,1.70086-2.09381*1j
"s182(,)",0.59363-1.65324*1j,0.59363-1.65324*1j,1.68544-2.0373*1j
"s186(,)",0.57189-1.66678*1j,0.57189-1.66678*1j,1.73051-2.0159*1j
"s187(,)",0.59231+1.64863*1j,0.59231+1.64863*1j,1.6867+2.04625*1j
"s188(,)",0.58804+1.63407*1j,0.58804+1.63407*1j,1.71782-0.77559*1j
"s188(,)",0.07815+2.59048*1j,0.58804+1.63407*1j,2.03928-2.90158*1j
"s189(,)",0.58765+1.63391*1j,0.58765+1.63391*1j,1.69064+2.07523*1j
"s191(,)",0.5652+1.66373*1j,0.5652+1.66373*1j,1.74344+2.02346*1j
"s193(,)",0.59011-1.64518*1j,0.59011-1.64518*1j,1.6898-2.05332*1j
"s194(,)",0.06895+2.43637*1j,0.58727-1.63737*1j,2.10307-0.17925*1j
"s194(,)",0.58727-1.63737*1j,0.58727-1.63737*1j,1.71886+0.78285*1j
"s195(,)",0.58844+1.65302*1j,0.58844+1.65302*1j,1.69514+2.03904*1j
"s196(,)",0.58393+1.6344*1j,0.58393+1.6344*1j,1.69781+2.0757*1j
"s196(,)",0.06577+2.41485*1j,0.58393+1.6344*1j,2.17236-2.5453*1j
"s202(,)",0.58672-1.64702*1j,0.58672-1.64702*1j,1.69675-2.05087*1j
"s257(,)",0.4798-2.11999*1j,0.4798-2.11999*1j,1.95916-1.49527*1j
"s262(,)",0.47736+2.15627*1j,0.47736+2.15627*1j,1.9653-1.90775*1j
"s265(,)",0.47224+2.15597*1j,0.47224+2.15597*1j,1.97024-1.90894*1j
"s269(,)",0.48598+2.12727*1j,0.48598+2.12727*1j,1.95716+1.48362*1j
"s277(,)",0.47926-2.15261*1j,0.47926-2.15261*1j,1.96444+1.90377*1j
"s280(,)",0.48796+2.13659*1j,0.48796+2.13659*1j,1.96029+1.4724*1j
"s282(,)",0.48736-2.14109*1j,0.48736-2.14109*1j,1.95887+1.89054*1j
