"name","geod","length","ortho","move"
"v0046(,)",0,0.03245-2.56843*1j,4.36288-2.62704*1j,1.31005567826723
"v0047(,)",0,0.03245-2.56843*1j,4.36288+0.51456*1j,1.31005567826723
"v0048(,)",0,0.03137+2.83024*1j,4.61654-2.68874*1j,1.90947718591934
"v0048(,)",1,0.94957-3.13295*1j,1.2613+1.67625*1j,1.61466694558004
"v0048(,)",2,0.97536+3.13275*1j,1.24658+1.67688*1j,1.61967603161115
"v0049(,)",2,0.97075-3.12853*1j,1.24728-1.67956*1j,1.61713639845129
"v0049(,)",1,0.95401+3.12872*1j,1.26046-1.67329*1j,1.61689905745864
"v0049(,)",0,0.03107+2.83094*1j,4.62599+2.28579*1j,1.91869435122968
"v0050(,)",1,0.94824+3.13606*1j,1.25802+1.68254*1j,1.61104984200627
"v0050(,)",2,0.97676-3.13592*1j,1.24933+1.67095*1j,1.62289974219986
"v0050(,)",0,0.03084+2.23777*1j,4.63588+2.62208*1j,1.89929137145535
"v0052(,)",0,0.03052+1.88943*1j,4.42398+1.27742*1j,1.33009622149209
"v0053(,)",0,0.0303+2.23728*1j,4.65263+1.35147*1j,1.90594677330109
"v0053(,)",1,0.95707-3.12756*1j,1.25219-1.68347*1j,1.61203964430423
"v0053(,)",2,0.96763+3.12743*1j,1.25496-1.6695*1j,1.62140386941784
"v0054(,)",0,0.02974+2.45972*1j,4.45006-2.57802*1j,1.309938210407
"v0055(,)",0,0.02974+2.45972*1j,4.45006+0.56357*1j,1.309938210407
"v0056(,)",2,0.9767-3.14007*1j,1.24843+1.6726*1j,1.62211776941592
"v0056(,)",1,0.94832+3.14011*1j,1.2591+1.68086*1j,1.61200789802003
"v0056(,)",0,0.02872+1.33641*1j,4.70626+2.89164*1j,1.90160509695852
"v0057(,)",0,0.02836-2.80961*1j,4.4975+2.66187*1j,1.32305478982533
"v0058(,)",0,0.02836-2.80961*1j,4.4975-0.47972*1j,1.32305478982533
"v0059(,)",2,0.96374+3.12768*1j,1.25654-1.6705*1j,1.62011253561382
"v0059(,)",1,0.96093-3.12772*1j,1.25076-1.68237*1j,1.61342893432205
"v0059(,)",0,0.0281+1.33628*1j,4.7273+1.60983*1j,1.9114917837269
"v0061(,)",0,0.02794+1.87536*1j,4.51239-0.90451*1j,1.32695864863948
"v0062(,)",0,0.028+2.72462*1j,4.51034-0.13507*1j,1.31551504472305
"v0063(,)",0,0.028-2.72462*1j,4.51034-3.00652*1j,1.31551504472305
"v0064(,)",1,0.94993-3.13812*1j,1.2579-1.68124*1j,1.61207047885184
"v0064(,)",2,0.97505+3.13804*1j,1.24954-1.67217*1j,1.62192054671658
"v0064(,)",0,0.02626-1.66878*1j,4.79665-2.72457*1j,1.90312703013622
"v0065(,)",0,0.02607+1.82673*1j,4.58155-0.19553*1j,1.31491181667584
"v0066(,)",0,0.02607+1.82673*1j,4.58155+2.94607*1j,1.31491181667584
"v0067(,)",1,0.95904+3.12925*1j,1.25189+1.68229*1j,1.61310886006646
"v0067(,)",2,0.96568-3.12918*1j,1.25538+1.67068*1j,1.62045018339846
"v0067(,)",0,0.0258-1.66851*1j,4.81338-1.44839*1j,1.91013573219365
"v0068(,)",0,0.02563+1.41457*1j,4.59886-2.81775*1j,1.32097604510993
"v0069(,)",0,0.02563+1.41457*1j,4.59886+0.32384*1j,1.32097604510993
"v0070(,)",0,0.02534+2.28141*1j,4.60985+1.83848*1j,1.32774385780932
"v0071(,)",0,0.02534+2.28141*1j,4.60985-1.30312*1j,1.32774385780932
"v0074(,)",0,0.02501-1.70913*1j,4.62321-1.92625*1j,1.32764536349731
"v0078(,)",0,0.0243+1.37754*1j,4.65196+2.88984*1j,1.31989538456653
"v0079(,)",0,0.0243+1.37754*1j,4.65196-0.25175*1j,1.31989538456653
"v0080(,)",0,0.02353-1.72096*1j,4.68428+2.18114*1j,1.3258232393539
"v0083(,)",1,0.95667+3.13158*1j,1.25861-1.67385*1j,1.61712941411613
"v0083(,)",2,0.96811-3.13147*1j,1.249-1.67911*1j,1.61679085157483
"v0083(,)",0,0.02331+1.91554*1j,4.91411+2.22897*1j,1.92114496041896
"v0084(,)",0,0.02291+2.293*1j,4.71105-2.26248*1j,1.32520107501173
"v0085(,)",0,0.02291+2.293*1j,4.71105+0.87912*1j,1.32520107501173
"v0086(,)",0,0.02288+1.36106*1j,4.93314+2.92392*1j,1.91028883727054
"v0086(,)",2,0.9731-3.13754*1j,1.24856-1.67558*1j,1.61979380487985
"v0086(,)",1,0.95183+3.13762*1j,1.25911-1.67764*1j,1.61433986658333
"v0087(,)",0,0.02257+1.3608*1j,4.94641-2.0613*1j,1.92166495751469
"v0087(,)",1,0.95854-3.13109*1j,1.25793+1.67318*1j,1.61780664780719
"v0087(,)",2,0.96622+3.13102*1j,1.24961+1.67975*1j,1.61602621169567
"v0089(,)",0,0.02267-2.6621*1j,4.72139-0.30411*1j,1.31399381400171
"v0090(,)",0,0.02217+1.89921*1j,4.74372-2.71924*1j,1.32108282514829
"v0091(,)",0,0.02217+1.89921*1j,4.74372+0.42236*1j,1.32108282514829
"v0092(,)",0,0.02179+2.7733*1j,4.76119+3.02275*1j,1.31832258332841
"v0093(,)",0,0.02179+2.7733*1j,4.76119-0.11884*1j,1.31832258332841
"v0094(,)",0,0.02083-2.61372*1j,4.80599-1.97764*1j,1.32555946574057
"v0095(,)",0,0.02083-2.61372*1j,4.80599+1.16396*1j,1.32555946574057
"v0097(,)",0,0.02044+2.73995*1j,5.04618+1.74757*1j,1.9172034990535
"v0097(,)",1,0.96201+3.13145*1j,1.25638-1.6725*1j,1.61883167141419
"v0097(,)",2,0.96274-3.13144*1j,1.25104-1.68048*1j,1.61488095771801
"v0098(,)",0,0.02047+2.33197*1j,4.82353+0.17281*1j,1.31555837920991
"v0099(,)",0,0.02047+2.33197*1j,4.82353-2.96878*1j,1.31555837920991
"v0100(,)",0,0.02006-2.62376*1j,4.84367+2.13366*1j,1.3245600995388
"v0101(,)",0,0.02006-2.62376*1j,4.84367-1.00793*1j,1.3245600995388
"v0102(,)",0,0.02013-2.58142*1j,5.0624-2.77866*1j,1.90814393648374
"v0102(,)",1,0.9527-3.13944*1j,1.25712-1.67995*1j,1.61325732852502
"v0102(,)",2,0.97223+3.1394*1j,1.25035-1.67335*1j,1.62069049244344
"v0104(,)",2,0.97087-3.13636*1j,1.24914-1.67657*1j,1.61877044019347
"v0104(,)",1,0.95401+3.13644*1j,1.2585-1.67658*1j,1.61527645924369
"v0104(,)",0,0.01994+2.25968*1j,5.07096+2.73198*1j,1.91452407540092
"v0106(,)",1,0.95339+3.13939*1j,1.25799-1.67797*1j,1.61444126888655
"v0106(,)",2,0.97152-3.13935*1j,1.24959-1.67525*1j,1.61958286029893
"v0106(,)",0,0.01879+2.7594*1j,5.13078+3.04421*1j,1.91189385284497
"v0107(,)",0,0.01873+1.84039*1j,5.13448+2.99131*1j,1.91019047996655
"v0107(,)",1,0.95316+3.14153*1j,1.25749+1.67897*1j,1.61387186142752
"v0107(,)",2,0.97176-3.14153*1j,1.25004+1.67429*1j,1.62011764269642
"v0108(,)",2,0.96453+3.13261*1j,1.25066+1.67957*1j,1.61576664714459
"v0108(,)",1,0.96025-3.13265*1j,1.25683+1.67342*1j,1.6180333928815
"v0108(,)",0,0.01854+2.75928*1j,5.14353-1.94581*1j,1.92053166152345
"v0109(,)",0,0.01845+1.84038*1j,5.14863+1.70495*1j,1.91717502008202
"v0109(,)",2,0.96245+3.13243*1j,1.25597-1.6728*1j,1.61878633186629
"v0109(,)",1,0.96233-3.13243*1j,1.25146-1.68021*1j,1.61495715166253
"v0110(,)",0,0.01854+2.2731*1j,4.9227+2.70053*1j,1.32087652879506
"v0111(,)",0,0.01854+2.2731*1j,4.9227-0.44106*1j,1.32087652879506
"v0112(,)",0,0.01832+1.86948*1j,4.9344+2.97826*1j,1.31839091002918
"v0113(,)",0,0.01832+1.86948*1j,4.9344-0.16334*1j,1.31839091002918
"v0114(,)",0,0.01827-1.68892*1j,5.15855-2.79973*1j,1.91427871968374
"v0114(,)",1,0.95441-3.1374*1j,1.25809+1.67688*1j,1.61520099451875
"v0114(,)",2,0.97047+3.13733*1j,1.24952+1.67628*1j,1.61881679071143
"v0115(,)",0,0.01812-1.6887*1j,5.16663+2.18531*1j,1.92251956278455
"v0115(,)",2,0.9665-3.13355*1j,1.25013-1.67871*1j,1.61664979924905
"v0115(,)",1,0.9583+3.13361*1j,1.25741-1.67431*1j,1.61721790040962
"v0116(,)",0,0.0181+2.3799*1j,4.94642-0.27107*1j,1.31474298802496
"v0117(,)",0,0.0181+2.3799*1j,4.94642+2.87052*1j,1.31474298802496
"v0119(,)",0,0.01787+2.44848*1j,5.18105-1.46885*1j,1.91493517627216
"v0119(,)",2,0.96452-3.13296*1j,1.25498+1.67253*1j,1.61934850006891
"v0119(,)",1,0.96026+3.13299*1j,1.2524+1.68052*1j,1.61435509501353
"v0120(,)",0,0.01787+2.42*1j,4.95958-1.94758*1j,1.32476544016551
"v0121(,)",0,0.01787+2.42*1j,4.95958+1.19401*1j,1.32476544016551
"v0124(,)",0,0.01695-2.41145*1j,5.01198-2.16369*1j,1.32320535001595
"v0125(,)",0,0.01695-2.41145*1j,5.01198+0.9779*1j,1.32320535001595
"v0126(,)",1,0.95404+3.1412*1j,1.25704+1.67887*1j,1.61408105709802
"v0126(,)",2,0.97087-3.1412*1j,1.25047+1.67437*1j,1.61987469898189
"v0126(,)",0,0.01695-1.75183*1j,5.23408+2.95172*1j,1.91134318017528
"v0127(,)",2,0.96277+3.13329*1j,1.25563-1.67308*1j,1.61871882296478
"v0127(,)",1,0.96202-3.13329*1j,1.2518-1.67995*1j,1.61503358542521
"v0127(,)",0,0.01673-1.75185*1j,5.24683+1.66631*1j,1.91768704157793
"v0128(,)",1,0.95469+3.13938*1j,1.25746-1.67763*1j,1.6148628376002
"v0128(,)",2,0.97021-3.13935*1j,1.25011-1.67556*1j,1.61913186778795
"v0128(,)",0,0.01626+1.85752*1j,5.27559+3.00496*1j,1.91390715653211
"v0129(,)",0,0.01608+1.85741*1j,5.28616-1.98502*1j,1.92181131584552
"v0129(,)",2,0.96455+3.13388*1j,1.25097+1.67907*1j,1.61603933018985
"v0129(,)",1,0.96025-3.13391*1j,1.25653+1.67396*1j,1.61778560975256
"v0130(,)",0,0.01561-1.7263*1j,5.0945+2.94067*1j,1.31855402361194
"v0131(,)",0,0.01561-1.7263*1j,5.0945-0.20093*1j,1.31855402361194
"v0132(,)",0,0.01541-2.65115*1j,5.32959+2.91586*1j,1.91245622018681
"v0132(,)",2,0.97008-3.14096*1j,1.25084+1.67446*1j,1.61964981152677
"v0132(,)",1,0.95482+3.14097*1j,1.25666+1.67876*1j,1.6142826585906
"v0134(,)",0,0.01493+2.29762*1j,5.13929-2.99438*1j,1.31810426136676
"v0135(,)",0,0.01493+2.29762*1j,5.13929+0.14721*1j,1.31810426136676
"v0136(,)",1,0.95506+3.14152*1j,1.25675-1.67841*1j,1.61451731115062
"v0136(,)",2,0.96983-3.14152*1j,1.25077-1.6748*1j,1.61942370100121
"v0136(,)",0,0.01487+2.32106*1j,5.36519-3.00821*1j,1.91299700719506
"v0138(,)",0,0.01457-2.60774*1j,5.16346-2.801*1j,1.31913165279729
"v0139(,)",0,0.01457-2.60774*1j,5.16346+0.34059*1j,1.31913165279729
"v0140(,)",1,0.95591-3.13848*1j,1.25719+1.67694*1j,1.61544853794248
"v0140(,)",2,0.96897+3.13844*1j,1.25037+1.67621*1j,1.61851301356449
"v0140(,)",0,0.01458-2.59748*1j,5.38421-2.83706*1j,1.9162212105768
"v0141(,)",1,0.95936+3.1351*1j,1.25661-1.67467*1j,1.61726013741635
"v0141(,)",2,0.96546-3.13506*1j,1.25091-1.67839*1j,1.61660118794801
"v0141(,)",0,0.01448-2.59736*1j,5.39129+2.15072*1j,1.9236876235215
"v0142(,)",0,0.0142-1.73668*1j,5.41116+2.97094*1j,1.91560769396697
